oldCategory,occurrencesOOEE,occurenceRRAA
MONEDA -  BANCA Y FINANZAS,147,11
AGRICULTURA - GANADERIA Y PESCA,89,11
TRANSPORTE,82,11
JUSTICIA,73,11
CUENTAS ECONOMICAS,71,11
POR CONFIRMAR,66,11
MONEDA - BANCA Y FINANZAS,64,11
EDUCACION - CIENCIA - TECNOLOGIA E INNOVACION,51,11
SERVICIOS PUBLICOS DOMICILIARIOS,49,11
MINERO ENERGETICO,46,11
FINANZAS PUBLICAS Y ESTADISTICAS FISCALES,42,11
SEGURIDAD Y DEFENSA,29,11
ADMINISTRACION PUBLICA,29,11
CONDICIONES Y CALIDAD AMBIENTAL,27,11
SALUD,27,11
SERVICIOS (TURISMO - HOTELES - RESTAURANTES Y OTROS),25,11
RECURSOS AMBIENTALES Y SU USO,23,11
COMERCIO,18,11
CONSTRUCCION,18,11
MERCADO LABORAL Y SEGURIDAD SOCIAL,16,11
INDUSTRIA,15,11
NIVEL - CALIDAD Y CONDICIONES DE VIDA,14,11
CULTURA - DEPORTE Y RECREACION,13,11
INDICES DE PRECIOS Y COSTOS,12,11
PROTECCION AMBIENTAL - GESTION Y PARTICIPACION/ACCION CIUDADANA,12,11
CULTURA,11,11
DEMOGRAFIA Y POBLACION,8,11
RESIDUOS,7,11
ACTIVIDAD POLITICA Y ASOCIATIVA,7,11
TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES,6,11
DEPORTE Y RECREACION,6,11
EVENTOS EXTREMOS Y DESASTRES,5,11
ASENTAMIENTOS HUMANOS Y SALUD AMBIENTAL,2,11
SEGURIDAD y DEFENSA,2,11
GENERO,1,11
ECONOMICA,1,11

