group,cantidad,type
MONEDA - BANCA Y FINANZAS,168,RRAA
MONEDA - BANCA Y FINANZAS,44,OOEE
AGRICULTURA - GANADERIA Y PESCA,24,RRAA
AGRICULTURA - GANADERIA Y PESCA,65,OOEE
TRANSPORTE,38,OOEE
TRANSPORTE,44,RRAA
JUSTICIA,16,OOEE
JUSTICIA,57,RRAA
CUENTAS ECONOMICAS,19,OOEE
CUENTAS ECONOMICAS,52,RRAA
POR CONFIRMAR,66,RRAA
EDUCACION - CIENCIA - TECNOLOGIA E INNOVACION,15,RRAA
EDUCACION - CIENCIA - TECNOLOGIA E INNOVACION,42,OOEE
SERVICIOS PUBLICOS DOMICILIARIOS,12,OOEE
SERVICIOS PUBLICOS DOMICILIARIOS,37,RRAA
MINERO ENERGETICO,21,RRAA
MINERO ENERGETICO,25,OOEE
FINANZAS PUBLICAS Y ESTADISTICAS FISCALES,16,RRAA
FINANZAS PUBLICAS Y ESTADISTICAS FISCALES,26,OOEE
SEGURIDAD Y DEFENSA,11,RRAA
SEGURIDAD Y DEFENSA,20,OOEE
CULTURA - DEPORTE Y RECREACION,15,OOEE
CULTURA - DEPORTE Y RECREACION,15,RRAA
ADMINISTRACION PUBLICA,10,RRAA
ADMINISTRACION PUBLICA,19,OOEE
CONDICIONES Y CALIDAD AMBIENTAL + ASENTAMIENTOS HUMANOS Y SALUD AMBIENTAL,2,RRAA
CONDICIONES Y CALIDAD AMBIENTAL + ASENTAMIENTOS HUMANOS Y SALUD AMBIENTAL,27,OOEE
SALUD,6,RRAA
SALUD,21,OOEE
SERVICIOS (TURISMO - HOTELES - RESTAURANTES Y OTROS),5,RRAA
SERVICIOS (TURISMO - HOTELES - RESTAURANTES Y OTROS),20,OOEE
RECURSOS AMBIENTALES Y SU USO,10,OOEE
RECURSOS AMBIENTALES Y SU USO,13,RRAA
COMERCIO,9,OOEE
COMERCIO,9,RRAA
CONSTRUCCION,3,RRAA
CONSTRUCCION,15,OOEE
MERCADO LABORAL Y SEGURIDAD SOCIAL,5,RRAA
MERCADO LABORAL Y SEGURIDAD SOCIAL,11,OOEE
INDUSTRIA,4,RRAA
INDUSTRIA,11,OOEE
NIVEL - CALIDAD Y CONDICIONES DE VIDA,4,RRAA
NIVEL - CALIDAD Y CONDICIONES DE VIDA,10,OOEE
INDICES DE PRECIOS Y COSTOS,12,OOEE
PROTECCION AMBIENTAL - GESTION Y PARTICIPACION/ACCION CIUDADANA,4,OOEE
PROTECCION AMBIENTAL - GESTION Y PARTICIPACION/ACCION CIUDADANA,8,RRAA
DEMOGRAFIA Y POBLACION,3,RRAA
DEMOGRAFIA Y POBLACION,5,OOEE
RESIDUOS,3,OOEE
RESIDUOS,4,RRAA
ACTIVIDAD POLITICA Y ASOCIATIVA,1,RRAA
ACTIVIDAD POLITICA Y ASOCIATIVA,6,OOEE
EVENTOS EXTREMOS Y DESASTRES,5,OOEE
GENERO,1,RRAA
